Timestamp_MS,Angulo,PWM_Reportado,Modo,Escalon_Set,Timestamp_Python
5628080,30.52,36.0,MANUAL,36,1775686368.165
5628090,30.49,36.0,MANUAL,36,1775686368.1746
5628100,30.49,36.0,MANUAL,36,1775686368.1846
5628110,30.60,36.0,MANUAL,36,1775686368.1946
5628120,30.52,36.0,MANUAL,36,1775686368.2046
5628130,30.49,36.0,MANUAL,36,1775686368.2147
5628140,30.46,36.0,MANUAL,36,1775686368.2246
5628150,30.58,36.0,MANUAL,36,1775686368.2345
5628160,30.56,36.0,MANUAL,36,1775686368.2441
5628170,30.49,36.0,MANUAL,36,1775686368.2544
5628180,30.45,36.0,MANUAL,36,1775686368.2647
5628190,30.55,36.0,MANUAL,36,1775686368.2745
5628200,30.59,36.0,MANUAL,36,1775686368.2846
5628210,30.48,36.0,MANUAL,36,1775686368.2946
5628220,30.45,36.0,MANUAL,36,1775686368.3045
5628230,30.50,36.0,MANUAL,36,1775686368.3146
5628240,30.58,36.0,MANUAL,36,1775686368.3245
5628250,30.47,36.0,MANUAL,36,1775686368.3345
5628260,30.46,36.0,MANUAL,36,1775686368.3447
5628270,30.45,36.0,MANUAL,36,1775686368.3548
5628280,30.56,36.0,MANUAL,36,1775686368.3647
5628290,30.49,36.0,MANUAL,36,1775686368.3748
5628300,30.46,36.0,MANUAL,36,1775686368.3846
5628310,30.44,36.0,MANUAL,36,1775686368.3946
5628320,30.55,36.0,MANUAL,36,1775686368.4046
5628330,30.61,36.0,MANUAL,36,1775686368.415
5628340,30.50,36.0,MANUAL,36,1775686368.4246
5628350,30.49,36.0,MANUAL,36,1775686368.4346
5628360,30.52,36.0,MANUAL,36,1775686368.4446
5628370,30.62,36.0,MANUAL,36,1775686368.4547
5628380,30.51,36.0,MANUAL,36,1775686368.4646
5628390,30.49,36.0,MANUAL,36,1775686368.4746
5628400,30.48,36.0,MANUAL,36,1775686368.4846
5628410,30.59,36.0,MANUAL,36,1775686368.4947
5628420,30.53,36.0,MANUAL,36,1775686368.5046
5628430,30.47,36.0,MANUAL,36,1775686368.5146
5628440,30.45,36.0,MANUAL,36,1775686368.5246
5628450,30.56,36.0,MANUAL,36,1775686368.5346
5628460,30.55,36.0,MANUAL,36,1775686368.5445
5628470,30.46,36.0,MANUAL,36,1775686368.5545
5628480,30.44,36.0,MANUAL,36,1775686368.5646
5628490,30.53,36.0,MANUAL,36,1775686368.5741
5628500,30.58,36.0,MANUAL,36,1775686368.584
5628510,30.47,36.0,MANUAL,36,1775686368.594
5628520,30.45,36.0,MANUAL,36,1775686368.6039
5628530,30.48,36.0,MANUAL,36,1775686368.614
5628540,30.58,36.0,MANUAL,36,1775686368.6244
5628550,30.47,36.0,MANUAL,36,1775686368.6341
5628560,30.43,36.0,MANUAL,36,1775686368.6446
5628570,30.43,36.0,MANUAL,36,1775686368.6547
5628580,30.55,36.0,MANUAL,36,1775686368.6648
5628590,30.49,36.0,MANUAL,36,1775686368.6746
5628600,30.43,36.0,MANUAL,36,1775686368.6846
5628610,30.41,36.0,MANUAL,36,1775686368.6946
5628620,30.54,36.0,MANUAL,36,1775686368.7046
5628630,30.55,36.0,MANUAL,36,1775686368.7146
5628640,30.44,36.0,MANUAL,36,1775686368.7246
5628650,30.41,36.0,MANUAL,36,1775686368.7346
5628660,30.52,36.0,MANUAL,36,1775686368.7439
5628670,30.57,36.0,MANUAL,36,1775686368.7545
5628680,30.44,36.0,MANUAL,36,1775686368.7641
5628690,30.40,36.0,MANUAL,36,1775686368.7744
5628700,30.45,36.0,MANUAL,36,1775686368.7846
5628710,30.55,36.0,MANUAL,36,1775686368.7949
5628720,30.44,36.0,MANUAL,36,1775686368.8048
5628730,30.39,36.0,MANUAL,36,1775686368.8145
5628740,30.36,36.0,MANUAL,36,1775686368.8246
