t_s,ref,angulo,error,bias,d,epsilon,u,Timestamp_Python
1.811,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.6923
1.821,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.7027
1.832,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.7134
1.842,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.7235
1.853,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.7338
1.863,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.7443
1.873,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.7545
1.884,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.7647
1.894,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.7753
1.905,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.7858
1.915,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.7965
1.925,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.8066
1.935,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.8166
1.946,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.8272
1.956,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.8374
1.966,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.8474
1.976,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.8576
1.987,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.8681
1.997,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.8783
2.008,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.8887
2.018,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.8993
2.028,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9096
2.039,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9202
2.049,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9304
2.06,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9408
2.07,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9512
2.08,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9613
2.09,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9714
2.101,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.982
2.111,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747970.9924
2.122,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0026
2.132,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.013
2.142,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0233
2.152,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0333
2.162,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0435
2.173,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0539
2.183,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0642
2.194,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0748
2.204,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.086
2.214,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.0956
2.225,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1061
2.235,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1164
2.245,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1266
2.256,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1368
2.266,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.147
2.276,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1575
2.286,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1676
2.297,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1779
2.307,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1882
2.317,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.1981
2.328,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2087
2.338,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2188
2.348,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2289
2.358,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2393
2.368,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2495
2.378,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2597
2.389,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2698
2.399,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2799
2.409,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.2903
2.42,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.3008
2.43,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.3113
2.441,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.3218
2.451,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.3322
2.461,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.3426
2.472,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.3533
2.482,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.3634
2.493,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.3737
2.503,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.3841
2.513,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.3944
2.524,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.4047
2.534,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.4152
2.544,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.425
2.554,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.4356
2.565,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.4462
2.575,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.4563
2.586,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.4671
2.596,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.477
2.606,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.4872
2.617,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.4978
2.627,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.5083
2.637,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.5182
2.647,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.5284
2.658,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.5386
2.668,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.549
2.678,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.5595
2.688,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.5697
2.699,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.5802
2.71,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.5908
2.72,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6014
2.731,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6117
2.741,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6217
2.751,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6318
2.761,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6422
2.772,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.653
2.782,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6626
2.792,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6736
2.803,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.6839
2.813,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.6938
2.823,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7041
2.834,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7147
2.844,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7255
2.855,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.736
2.865,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7461
2.876,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.757
2.886,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7673
2.897,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7778
2.907,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7882
2.917,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.7986
2.928,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.8089
2.939,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.8197
2.949,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.83
2.959,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.8405
2.97,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.8511
2.98,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.8615
2.991,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.8717
3.001,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.882
3.011,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.8923
3.021,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.9022
3.032,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.9131
3.042,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.9234
3.053,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747971.9339
3.063,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.9441
3.073,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.954
3.083,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.9644
3.093,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.9745
3.104,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.9848
3.114,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747971.995
3.124,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.0053
3.134,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.0154
3.145,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.0259
3.155,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.0362
3.165,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.0465
3.176,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.0571
3.186,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.067
3.197,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.0775
3.207,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.0876
3.217,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.0978
3.227,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.1084
3.238,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.1193
3.248,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.1296
3.259,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.1397
3.269,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.1499
3.279,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.1602
3.289,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.1703
3.3,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.1807
3.31,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.1908
3.32,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2012
3.33,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2114
3.341,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2218
3.351,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2319
3.361,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2421
3.372,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2529
3.382,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2627
3.392,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2735
3.402,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2837
3.413,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.2938
3.423,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.3041
3.433,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.3143
3.443,15.0,-0.34,15.34,1.0,1.0,3.0,2.0,1775747972.3245
3.454,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.3347
3.464,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.3452
3.474,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.3557
3.485,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747972.366
