Timestamp_MS,Angulo,PWM,Modo
800150,0.83,0.0,IDLE
800160,0.83,0.0,IDLE
800170,0.83,0.0,IDLE
800180,0.83,0.0,IDLE
800190,0.83,0.0,IDLE
800200,0.83,0.0,IDLE
800210,0.83,0.0,IDLE
800220,0.83,0.0,IDLE
800230,0.83,0.0,IDLE
800240,0.83,0.0,IDLE
800250,0.83,0.0,IDLE
800260,0.82,0.0,IDLE
800270,0.82,0.0,IDLE
800280,0.82,0.0,IDLE
800290,0.83,0.0,IDLE
800300,0.83,0.0,IDLE
800310,0.83,0.0,IDLE
800320,0.83,0.0,IDLE
800330,0.83,0.0,IDLE
800340,0.83,0.0,IDLE
800350,0.83,0.0,IDLE
800360,0.83,0.0,IDLE
800370,0.83,0.0,IDLE
800380,0.82,0.0,IDLE
800390,0.82,0.0,IDLE
800400,0.82,0.0,IDLE
800410,0.82,0.0,IDLE
800420,0.82,0.0,IDLE
800430,0.82,0.0,IDLE
800440,0.82,0.0,IDLE
800450,0.82,0.0,IDLE
800460,0.82,0.0,IDLE
800470,0.82,0.0,IDLE
800480,0.82,0.0,IDLE
800490,0.82,0.0,IDLE
800500,0.82,0.0,IDLE
800510,0.82,0.0,IDLE
800520,0.82,0.0,IDLE
800530,0.82,0.0,IDLE
800540,0.82,0.0,IDLE
800550,0.82,0.0,IDLE
800560,0.82,0.0,IDLE
800570,0.82,0.0,IDLE
800580,0.82,0.0,IDLE
800590,0.82,0.0,IDLE
800600,0.83,0.0,IDLE
800610,0.83,0.0,IDLE
800620,0.83,0.0,IDLE
800630,0.83,0.0,IDLE
800640,0.83,0.0,IDLE
800650,0.83,0.0,IDLE
800660,0.82,0.0,IDLE
800670,0.82,0.0,IDLE
800680,0.82,0.0,IDLE
800690,0.82,0.0,IDLE
800700,0.82,0.0,IDLE
800710,0.82,0.0,IDLE
800720,0.82,0.0,IDLE
800730,0.82,0.0,IDLE
800740,0.82,0.0,IDLE
800750,0.82,0.0,IDLE
800760,0.83,0.0,IDLE
800770,0.83,0.0,IDLE
800780,0.83,0.0,IDLE
800790,0.83,0.0,IDLE
800800,0.83,0.0,IDLE
800810,0.82,0.0,IDLE
800820,0.82,0.0,IDLE
800830,0.82,0.0,IDLE
800840,0.82,0.0,IDLE
800850,0.82,0.0,IDLE
800860,0.82,0.0,IDLE
800870,0.82,0.0,IDLE
800880,0.82,0.0,IDLE
800890,0.82,0.0,IDLE
800900,0.82,0.0,IDLE
800910,0.82,0.0,IDLE
800920,0.82,0.0,IDLE
800930,0.83,0.0,IDLE
800940,0.83,0.0,IDLE
800950,0.83,0.0,IDLE
800960,0.83,0.0,IDLE
800970,0.82,0.0,IDLE
800980,0.82,0.0,IDLE
800990,0.82,0.0,IDLE
801000,0.82,0.0,IDLE
801010,0.82,0.0,IDLE
801020,0.82,0.0,IDLE
801030,0.82,0.0,IDLE
801040,0.82,0.0,IDLE
801050,0.82,0.0,IDLE
801060,0.83,0.0,IDLE
801070,0.83,0.0,IDLE
801080,0.83,0.0,IDLE
801090,0.83,0.0,IDLE
801100,0.83,0.0,IDLE
801110,0.83,0.0,IDLE
801120,0.82,0.0,IDLE
801130,0.82,0.0,IDLE
801140,0.82,0.0,IDLE
801150,0.82,0.0,IDLE
801160,0.82,0.0,IDLE
801170,0.82,0.0,IDLE
801180,0.82,0.0,IDLE
801190,0.82,0.0,IDLE
801200,0.82,0.0,IDLE
801210,0.82,0.0,IDLE
801220,0.82,0.0,IDLE
801230,0.82,0.0,IDLE
801240,0.82,0.0,IDLE
801250,0.82,0.0,IDLE
801260,0.82,0.0,IDLE
801270,0.82,0.0,IDLE
801280,0.82,0.0,IDLE
801290,0.82,0.0,IDLE
801300,0.82,0.0,IDLE
801310,0.82,0.0,IDLE
801320,0.82,0.0,IDLE
801330,0.82,0.0,IDLE
801340,0.82,0.0,IDLE
801350,0.82,0.0,IDLE
801360,0.82,0.0,IDLE
801370,0.82,0.0,IDLE
801380,0.82,0.0,IDLE
801390,0.82,0.0,IDLE
801400,0.83,0.0,IDLE
801410,0.83,0.0,IDLE
801420,0.82,0.0,IDLE
801430,0.82,0.0,IDLE
801440,0.82,0.0,IDLE
801450,0.82,0.0,IDLE
801460,0.82,0.0,IDLE
801470,0.82,0.0,IDLE
801480,0.82,0.0,IDLE
801490,0.82,0.0,IDLE
801500,0.82,0.0,IDLE
801510,0.82,0.0,IDLE
801520,0.82,0.0,IDLE
801530,0.82,0.0,IDLE
801540,0.82,0.0,IDLE
801550,0.82,0.0,IDLE
801560,0.82,0.0,IDLE
801570,0.82,0.0,IDLE
801580,0.82,0.0,IDLE
801590,0.82,0.0,IDLE
801600,0.82,0.0,IDLE
801610,0.82,0.0,IDLE
801620,0.82,0.0,IDLE
801630,0.82,0.0,IDLE
801640,0.82,0.0,IDLE
801650,0.82,0.0,IDLE
801660,0.82,0.0,IDLE
801670,0.82,0.0,IDLE
801680,0.82,0.0,IDLE
801690,0.82,0.0,IDLE
801700,0.83,0.0,IDLE
801710,0.83,0.0,IDLE
801720,0.82,0.0,IDLE
801730,0.82,0.0,IDLE
801740,0.82,0.0,IDLE
801750,0.82,0.0,IDLE
801760,0.82,0.0,IDLE
801770,0.82,0.0,IDLE
801780,0.82,0.0,IDLE
801790,0.82,0.0,IDLE
801800,0.82,0.0,IDLE
801810,0.82,0.0,IDLE
801820,0.82,0.0,IDLE
801830,0.82,0.0,IDLE
801840,0.82,0.0,IDLE
801850,0.82,0.0,IDLE
801860,0.82,0.0,IDLE
801870,0.83,0.0,IDLE
801880,0.83,0.0,IDLE
801890,0.83,0.0,IDLE
801900,0.83,0.0,IDLE
801910,0.83,0.0,IDLE
801920,0.82,0.0,IDLE
801930,0.82,0.0,IDLE
801940,0.82,0.0,IDLE
801950,0.82,0.0,IDLE
801960,0.82,0.0,IDLE
801970,0.83,0.0,IDLE
801980,0.83,0.0,IDLE
801990,0.83,0.0,IDLE
802000,0.83,0.0,IDLE
802010,0.83,0.0,IDLE
802020,0.83,0.0,IDLE
802030,0.83,0.0,IDLE
802040,0.83,0.0,IDLE
802050,0.83,0.0,IDLE
802060,0.82,0.0,IDLE
802070,0.82,0.0,IDLE
802080,0.82,0.0,IDLE
802090,0.82,0.0,IDLE
802100,0.82,0.0,IDLE
802110,0.82,0.0,IDLE
802120,0.82,0.0,IDLE
802130,0.82,0.0,IDLE
802140,0.82,0.0,IDLE
802150,0.82,0.0,IDLE
802160,0.82,0.0,IDLE
802170,0.82,0.0,IDLE
802180,0.82,0.0,IDLE
802190,0.82,0.0,IDLE
802200,0.82,0.0,IDLE
802210,0.83,0.0,IDLE
802220,0.83,0.0,IDLE
802230,0.83,0.0,IDLE
802240,0.83,0.0,IDLE
802250,0.83,0.0,IDLE
802260,0.82,0.0,IDLE
802270,0.82,0.0,IDLE
802280,0.82,0.0,IDLE
802290,0.83,0.0,IDLE
802300,0.82,0.0,IDLE
802310,0.82,0.0,IDLE
802320,0.83,0.0,IDLE
802330,0.83,0.0,IDLE
802340,0.83,0.0,IDLE
802350,0.83,0.0,IDLE
802360,0.83,0.0,IDLE
802370,0.83,0.0,IDLE
802380,0.83,0.0,IDLE
802390,0.83,0.0,IDLE
802400,0.83,0.0,IDLE
802410,0.82,0.0,IDLE
802420,0.82,0.0,IDLE
802430,0.82,0.0,IDLE
802440,0.82,0.0,IDLE
802450,0.82,0.0,IDLE
802460,0.82,0.0,IDLE
802470,0.82,0.0,IDLE
802480,0.82,0.0,IDLE
802490,0.82,0.0,IDLE
802500,0.82,0.0,IDLE
802510,0.82,0.0,IDLE
802520,0.82,0.0,IDLE
802530,0.82,0.0,IDLE
802540,0.82,0.0,IDLE
802550,0.82,0.0,IDLE
802560,0.82,0.0,IDLE
802570,0.82,0.0,IDLE
802580,0.82,0.0,IDLE
802590,0.82,0.0,IDLE
802600,0.82,0.0,IDLE
802610,0.82,0.0,IDLE
802620,0.82,0.0,IDLE
802630,0.82,0.0,IDLE
802640,0.82,0.0,IDLE
802650,0.82,0.0,IDLE
802660,0.82,0.0,IDLE
802670,0.82,0.0,IDLE
802680,0.82,0.0,IDLE
802690,0.82,0.0,IDLE
802700,0.82,0.0,IDLE
802710,0.82,0.0,IDLE
802720,0.82,0.0,IDLE
802730,0.82,0.0,IDLE
802740,0.82,0.0,IDLE
802750,0.82,0.0,IDLE
802760,0.82,0.0,IDLE
802770,0.82,0.0,IDLE
802780,0.82,0.0,IDLE
802790,0.82,0.0,IDLE
802800,0.82,0.0,IDLE
802810,0.82,0.0,IDLE
802820,0.82,0.0,IDLE
802830,0.82,0.0,IDLE
802840,0.82,0.0,IDLE
802850,0.82,0.0,IDLE
802860,0.82,0.0,IDLE
802870,0.82,0.0,IDLE
802880,0.82,0.0,IDLE
802890,0.82,0.0,IDLE
802900,0.82,0.0,IDLE
802910,0.82,0.0,IDLE
802920,0.82,0.0,IDLE
802930,0.82,0.0,IDLE
802940,0.82,0.0,IDLE
802950,0.82,0.0,IDLE
802960,0.82,0.0,IDLE
802970,0.82,0.0,IDLE
802980,0.82,0.0,IDLE
802990,0.82,0.0,IDLE
803000,0.82,0.0,IDLE
803010,0.82,0.0,IDLE
803020,0.82,0.0,IDLE
803030,0.82,0.0,IDLE
803040,0.82,0.0,IDLE
803050,0.82,0.0,IDLE
803060,0.82,0.0,IDLE
803070,0.82,0.0,IDLE
803080,0.82,0.0,IDLE
803090,0.82,0.0,IDLE
803100,0.82,0.0,IDLE
803110,0.82,0.0,IDLE
803120,0.82,0.0,IDLE
803130,0.82,0.0,IDLE
803140,0.82,0.0,IDLE
803150,0.82,0.0,IDLE
803160,0.82,0.0,IDLE
803170,0.82,0.0,IDLE
803180,0.82,0.0,IDLE
803190,0.82,0.0,IDLE
803200,0.82,0.0,IDLE
803210,0.82,0.0,IDLE
803220,0.82,0.0,IDLE
803230,0.81,0.0,IDLE
803240,0.81,0.0,IDLE
803250,0.81,0.0,IDLE
803260,0.81,0.0,IDLE
803270,0.81,0.0,IDLE
803280,0.81,0.0,IDLE
803290,0.81,0.0,IDLE
803300,0.82,0.0,IDLE
803310,0.82,0.0,IDLE
803320,0.82,0.0,IDLE
803330,0.82,0.0,IDLE
803340,0.81,0.0,IDLE
803350,0.81,0.0,IDLE
803360,0.81,0.0,IDLE
803370,0.80,0.0,IDLE
803380,0.80,0.0,IDLE
803390,0.80,0.0,IDLE
803400,0.80,0.0,IDLE
803410,0.80,0.0,IDLE
803420,0.80,0.0,IDLE
803430,0.81,0.0,IDLE
803440,0.81,0.0,IDLE
803450,0.82,0.0,IDLE
803460,0.82,0.0,IDLE
803470,0.82,0.0,IDLE
803480,0.82,0.0,IDLE
803490,0.81,0.0,IDLE
803500,0.81,0.0,IDLE
803510,0.81,0.0,IDLE
803520,0.80,0.0,IDLE
803530,0.80,0.0,IDLE
803540,0.80,0.0,IDLE
803550,0.80,0.0,IDLE
803560,0.80,0.0,IDLE
803570,0.80,0.0,IDLE
803580,0.81,0.0,IDLE
803590,0.81,0.0,IDLE
803600,0.82,0.0,IDLE
803610,0.82,0.0,IDLE
803620,0.82,0.0,IDLE
803630,0.82,0.0,IDLE
803640,0.82,0.0,IDLE
803650,0.81,0.0,IDLE
803660,0.81,0.0,IDLE
803670,0.81,0.0,IDLE
803680,0.80,0.0,IDLE
803690,0.80,0.0,IDLE
803700,0.80,0.0,IDLE
803710,0.80,0.0,IDLE
803720,0.80,0.0,IDLE
803730,0.81,0.0,IDLE
803740,0.81,0.0,IDLE
803750,0.81,0.0,IDLE
803760,0.81,0.0,IDLE
803770,0.81,0.0,IDLE
803780,0.81,0.0,IDLE
803790,0.81,0.0,IDLE
803800,0.81,0.0,IDLE
803810,0.81,0.0,IDLE
803820,0.81,0.0,IDLE
803830,0.80,0.0,IDLE
803840,0.80,0.0,IDLE
803850,0.80,0.0,IDLE
803860,0.80,10.0,MANUAL
803870,0.80,10.0,MANUAL
803880,0.80,10.0,MANUAL
803890,0.80,10.0,MANUAL
803900,0.81,10.0,MANUAL
803910,0.81,10.0,MANUAL
803920,0.81,10.0,MANUAL
803930,0.81,10.0,MANUAL
803940,0.81,10.0,MANUAL
803950,0.81,10.0,MANUAL
803960,0.80,10.0,MANUAL
803970,0.81,10.0,MANUAL
803980,0.81,10.0,MANUAL
803990,0.82,10.0,MANUAL
804000,0.82,10.0,MANUAL
804010,0.83,10.0,MANUAL
804020,0.84,10.0,MANUAL
804030,0.84,10.0,MANUAL
804040,0.85,10.0,MANUAL
804050,0.85,10.0,MANUAL
804060,0.85,10.0,MANUAL
804070,0.85,10.0,MANUAL
804080,0.86,10.0,MANUAL
804090,0.86,10.0,MANUAL
804100,0.86,10.0,MANUAL
804110,0.86,10.0,MANUAL
804120,0.86,10.0,MANUAL
804130,0.87,10.0,MANUAL
804140,0.87,10.0,MANUAL
804150,0.87,10.0,MANUAL
804160,0.87,10.0,MANUAL
804170,0.88,10.0,MANUAL
804180,0.88,10.0,MANUAL
804190,0.88,10.0,MANUAL
804200,0.87,10.0,MANUAL
804210,0.88,10.0,MANUAL
804220,0.89,10.0,MANUAL
804230,0.90,10.0,MANUAL
804240,0.89,10.0,MANUAL
804250,0.90,10.0,MANUAL
804260,0.92,10.0,MANUAL
804270,0.94,10.0,MANUAL
804280,0.94,10.0,MANUAL
804290,0.95,10.0,MANUAL
804300,0.97,10.0,MANUAL
804310,0.99,10.0,MANUAL
804320,1.00,10.0,MANUAL
804330,1.01,10.0,MANUAL
804340,1.02,10.0,MANUAL
804350,1.04,10.0,MANUAL
